164.92: (0.71, -0.16, -0.68)
165.04: (0.68, -0.15, -0.72)
165.09: (0.68, -0.14, -0.72)
165.09: (-0.91, 0.19, -0.36): 2
165.14: (0.68, -0.14, -0.72)
165.25: (0.70, -0.14, -0.70)
165.37: (0.72, -0.11, -0.69)
165.47: (0.72, -0.11, -0.69)
165.59: (0.71, -0.09, -0.69)
165.69: (0.70, -0.06, -0.71)
165.79: (0.67, -0.02, -0.74)
165.90: (0.49, 0.15, -0.86)
166.00: (0.21, 0.32, -0.92)
166.12: (-0.17, 0.49, -0.85)
166.22: (-0.29, 0.53, -0.79)
166.34: (-0.54, 0.55, -0.63)
166.45: (-0.84, 0.45, -0.32)
166.57: (-0.84, 0.37, -0.39)
166.67: (-0.69, 0.40, -0.61)
166.79: (-0.73, 0.38, -0.56)
166.90: (-0.91, 0.24, -0.34)
167.02: (-0.87, 0.25, -0.43)
167.14: (-0.78, 0.32, -0.54)
167.25: (-0.80, 0.31, -0.51)
167.37: (-0.87, 0.24, -0.43)
167.49: (-0.89, 0.20, -0.42)
167.59: (-0.89, 0.19, -0.42)
167.59: (0.87, 0.21, -0.44): 1
167.59: (-0.89, 0.19, -0.42)
167.70: (-0.89, 0.20, -0.42)
167.80: (-0.88, 0.21, -0.42)
167.92: (-0.89, 0.21, -0.40)
168.04: (-0.89, 0.21, -0.40)
168.14: (-0.89, 0.21, -0.39)
168.25: (-0.89, 0.22, -0.40)
168.37: (-0.68, 0.36, -0.64)
168.47: (-0.55, 0.41, -0.73)
168.59: (-0.32, 0.44, -0.84)
168.70: (-0.03, 0.45, -0.89)
168.82: (0.16, 0.41, -0.90)
168.92: (0.34, 0.36, -0.87)
169.02: (0.48, 0.33, -0.81)
169.12: (0.50, 0.34, -0.80)
169.24: (0.59, 0.29, -0.75)
169.35: (0.70, 0.28, -0.66)
169.45: (0.72, 0.24, -0.65)
169.57: (0.79, 0.23, -0.56)
169.69: (0.89, 0.21, -0.41)
169.80: (0.89, 0.20, -0.40)
169.82: (0.89, 0.20, -0.40)
169.82: (-0.91, 0.01, 0.42): 0
169.90: (0.89, 0.20, -0.40)
170.02: (0.89, 0.20, -0.40)
170.14: (0.87, 0.25, -0.43)
170.25: (0.81, 0.30, -0.50)
170.37: (0.78, 0.31, -0.54)
170.49: (0.56, 0.46, -0.69)
170.59: (0.29, 0.54, -0.79)
170.70: (0.17, 0.58, -0.79)
170.82: (-0.09, 0.62, -0.78)
170.94: (-0.43, 0.61, -0.67)
171.05: (-0.59, 0.56, -0.58)
171.17: (-0.73, 0.51, -0.46)
171.27: (-0.89, 0.37, -0.25)
171.37: (-0.97, 0.23, -0.06)
171.49: (-0.99, 0.12, 0.07)
171.60: (-0.98, 0.14, 0.11)
171.70: (-0.97, 0.17, 0.17)
171.82: (-0.92, 0.04, 0.38)
171.94: (-0.90, 0.01, 0.43)
172.00: (-0.91, 0.02, 0.41)
172.00: (-0.47, 0.09, 0.88): 0
172.04: (-0.91, 0.02, 0.41)
172.15: (-0.92, 0.02, 0.40)
172.27: (-0.94, 0.06, 0.34)
172.39: (-0.87, 0.11, 0.48)
172.49: (-0.66, 0.08, 0.74)
172.60: (-0.47, -0.03, 0.88)
172.72: (-0.57, 0.05, 0.82)
172.84: (-0.60, 0.10, 0.80)
172.95: (-0.58, 0.09, 0.81)
173.07: (-0.54, 0.05, 0.84)
173.14: (-0.54, 0.04, 0.84)
173.14: (-0.86, 0.49, -0.17): 1
173.17: (-0.54, 0.04, 0.84)
173.27: (-0.54, 0.04, 0.84)
173.39: (-0.51, 0.08, 0.85)
173.50: (-0.51, 0.14, 0.85)
173.62: (-0.57, 0.33, 0.75)
173.74: (-0.65, 0.58, 0.49)
173.84: (-0.70, 0.62, 0.35)
173.95: (-0.79, 0.60, 0.13)
174.07: (-0.82, 0.55, 0.15)
174.19: (-0.85, 0.52, 0.07)
174.30: (-0.85, 0.52, -0.08)
174.42: (-0.85, 0.52, -0.12)
174.50: (-0.85, 0.51, -0.13)
174.50: (0.82, -0.53, 0.21): 1
174.52: (-0.85, 0.51, -0.13)
174.64: (-0.86, 0.50, -0.14)
174.75: (-0.85, 0.49, -0.18)
174.87: (-0.85, 0.49, -0.19)
174.97: (-0.85, 0.47, -0.22)
175.09: (-0.85, 0.48, -0.20)
175.20: (-0.86, 0.49, -0.14)
175.30: (-0.84, 0.51, -0.17)
175.42: (-0.78, 0.59, -0.22)
175.54: (-0.59, 0.60, -0.54)
175.65: (-0.48, 0.60, -0.64)
175.77: (-0.35, 0.54, -0.76)
175.87: (-0.26, 0.51, -0.82)
175.97: (-0.28, 0.51, -0.81)
176.09: (-0.38, 0.57, -0.73)
176.20: (-0.35, 0.55, -0.76)
176.30: (-0.19, 0.47, -0.86)
176.42: (-0.03, 0.40, -0.92)
176.54: (0.01, 0.38, -0.92)
176.64: (0.20, 0.29, -0.94)
176.74: (0.33, 0.21, -0.92)
176.85: (0.47, 0.14, -0.87)
176.97: (0.63, -0.01, -0.78)
177.07: (0.67, 0.01, -0.74)
177.19: (0.79, 0.15, -0.60)
177.30: (0.83, 0.24, -0.49)
177.42: (0.86, 0.35, -0.36)
177.53: (0.85, 0.47, -0.22)
177.64: (0.82, 0.55, -0.13)
177.75: (0.76, 0.65, 0.06)
177.87: (0.70, 0.68, 0.21)
177.98: (0.67, 0.68, 0.30)
178.09: (0.66, 0.68, 0.33)
178.20: (0.86, 0.47, 0.18)
178.32: (0.98, 0.02, -0.20)
178.43: (0.89, -0.31, -0.34)
178.55: (0.81, -0.47, -0.35)
178.65: (0.88, -0.39, -0.26)
178.77: (0.94, -0.33, -0.01)
178.88: (0.88, -0.48, 0.02)
179.00: (0.86, -0.52, 0.03)
179.12: (0.88, -0.47, 0.10)
179.22: (0.83, -0.52, 0.20)
179.32: (0.81, -0.54, 0.23)
179.33: (0.81, -0.54, 0.23)
179.33: (0.84, -0.54, 0.08): 0
179.44: (0.80, -0.55, 0.24)
179.55: (0.81, -0.55, 0.21)
179.67: (0.84, -0.52, 0.14)
179.78: (0.87, -0.49, 0.07)
179.90: (0.85, -0.51, 0.09)
180.02: (0.84, -0.53, 0.09)
180.13: (0.84, -0.53, 0.09)
180.13: (0.02, 0.81, -0.59): 1
180.13: (0.84, -0.53, 0.09)
180.25: (0.84, -0.53, 0.09)
180.35: (0.84, -0.53, 0.09)
180.45: (0.84, -0.53, 0.09)
180.57: (0.85, -0.52, 0.08)
180.68: (0.95, -0.30, -0.10)
180.80: (0.91, 0.16, -0.39)
180.92: (0.81, 0.33, -0.49)
181.03: (0.70, 0.46, -0.55)
181.15: (0.57, 0.56, -0.60)
181.27: (0.23, 0.74, -0.63)
181.38: (0.21, 0.75, -0.63)
181.48: (0.22, 0.75, -0.62)
181.58: (0.22, 0.75, -0.62)
181.70: (0.17, 0.77, -0.62)
181.80: (0.05, 0.81, -0.58)
181.92: (0.06, 0.81, -0.58)
181.92: (-0.97, 0.21, -0.12): 0
181.92: (0.06, 0.81, -0.58)
182.03: (0.06, 0.81, -0.58)
182.15: (0.01, 0.82, -0.57)
182.27: (-0.16, 0.84, -0.51)
182.38: (-0.36, 0.83, -0.44)
182.50: (-0.59, 0.74, -0.33)
182.62: (-0.74, 0.64, -0.22)
182.72: (-0.76, 0.61, -0.20)
182.83: (-0.87, 0.48, -0.09)
182.93: (-0.93, 0.36, -0.06)
183.05: (-0.93, 0.35, -0.13)
183.17: (-0.94, 0.32, -0.12)
183.28: (-0.97, 0.23, -0.08)
183.37: (-0.97, 0.25, -0.09)
183.37: (0.67, 0.05, -0.74): 1
183.40: (-0.97, 0.25, -0.09)
183.52: (-0.97, 0.24, -0.09)
183.63: (-0.97, 0.23, -0.07)
183.75: (-0.98, 0.17, 0.02)
183.85: (-0.98, 0.19, 0.10)
183.97: (-0.88, 0.43, 0.19)
184.07: (-0.75, 0.65, 0.07)
184.18: (-0.58, 0.79, -0.21)
184.30: (-0.39, 0.82, -0.42)
184.42: (-0.20, 0.80, -0.56)
184.53: (-0.02, 0.77, -0.64)
184.65: (0.27, 0.67, -0.69)
184.77: (0.47, 0.52, -0.71)
184.88: (0.58, 0.41, -0.70)
185.00: (0.50, 0.36, -0.79)
185.12: (0.56, 0.20, -0.81)
185.23: (0.66, 0.11, -0.74)
185.35: (0.68, 0.11, -0.72)
185.43: (0.68, 0.10, -0.72)
185.43: (0.95, 0.01, 0.31): 2
185.45: (0.68, 0.10, -0.72)
185.55: (0.68, 0.10, -0.72)
185.67: (0.68, 0.10, -0.72)
185.78: (0.68, 0.10, -0.72)
185.90: (0.65, 0.15, -0.74)
186.02: (0.53, 0.29, -0.80)
186.13: (0.46, 0.35, -0.82)
186.23: (0.49, 0.48, -0.73)
186.35: (0.64, 0.53, -0.56)
186.47: (0.74, 0.52, -0.42)
186.58: (0.91, 0.28, -0.29)
186.70: (0.97, -0.05, -0.25)
186.82: (0.95, -0.29, -0.16)
186.93: (0.99, 0.02, -0.13)
187.05: (0.99, 0.12, -0.06)
187.17: (1.00, -0.01, 0.09)
187.28: (0.97, -0.06, 0.25)
187.40: (0.96, 0.03, 0.27)
187.50: (0.96, 0.06, 0.27)
187.57: (0.96, 0.06, 0.27)
187.57: (-0.21, 0.20, -0.96): 0
187.60: (0.96, 0.06, 0.27)
187.72: (0.96, 0.06, 0.27)
187.83: (0.97, 0.08, 0.24)
187.93: (0.97, 0.13, 0.22)
188.05: (0.95, 0.28, 0.11)
188.17: (0.84, 0.53, -0.11)
188.27: (0.73, 0.64, -0.24)
188.38: (0.50, 0.72, -0.47)
188.48: (0.26, 0.73, -0.63)
188.60: (0.01, 0.73, -0.68)
188.70: (-0.32, 0.69, -0.65)
188.80: (-0.43, 0.59, -0.68)
188.92: (-0.08, 0.49, -0.87)
189.03: (-0.03, 0.40, -0.91)
189.15: (-0.25, 0.30, -0.92)
189.25: (-0.23, 0.21, -0.95)
189.30: (-0.25, 0.22, -0.95)
189.30: (0.83, 0.21, 0.52): 0
189.37: (-0.26, 0.24, -0.94)
189.48: (-0.28, 0.24, -0.93)
189.60: (-0.32, 0.31, -0.89)
189.70: (-0.21, 0.46, -0.86)
189.80: (0.10, 0.63, -0.77)
189.92: (0.51, 0.69, -0.51)
190.03: (0.61, 0.68, -0.40)
190.15: (0.76, 0.63, -0.16)
190.25: (0.83, 0.56, 0.05)
190.37: (0.85, 0.50, 0.20)
190.47: (0.87, 0.39, 0.31)
190.58: (0.88, 0.16, 0.44)
190.70: (0.88, 0.17, 0.45)
190.77: (0.87, 0.18, 0.45)
190.77: (1.00, -0.09, -0.02): 2
190.82: (0.87, 0.19, 0.45)
190.93: (0.88, 0.21, 0.43)
191.05: (0.89, 0.29, 0.36)
191.15: (0.98, 0.16, 0.15)
191.27: (0.99, -0.12, 0.04)
191.38: (0.99, -0.15, 0.05)
191.48: (0.99, -0.11, 0.05)
191.55: (0.99, -0.10, 0.05)
191.55: (-0.22, -0.44, 0.87): 2
191.60: (0.99, -0.09, 0.05)
191.70: (0.99, -0.09, 0.05)
191.82: (0.99, 0.14, -0.06)
191.93: (0.86, 0.45, -0.22)
192.05: (0.72, 0.62, -0.31)
192.15: (0.65, 0.68, -0.34)
192.27: (0.55, 0.74, -0.38)
192.38: (0.29, 0.84, -0.45)
192.48: (0.15, 0.89, -0.43)
192.58: (0.12, 0.91, -0.40)
192.70: (0.80, 0.54, -0.27)
192.82: (0.95, 0.29, 0.08)
192.92: (0.95, 0.15, 0.26)
193.03: (0.91, -0.06, 0.40)
193.15: (0.75, -0.22, 0.63)
193.25: (0.53, -0.40, 0.75)
193.37: (0.32, -0.55, 0.77)
193.48: (0.04, -0.63, 0.77)
193.60: (-0.17, -0.64, 0.75)
193.71: (-0.14, -0.49, 0.86)
193.82: (-0.04, -0.46, 0.89)
193.93: (-0.05, -0.48, 0.88)
194.05: (-0.23, -0.43, 0.87)
194.17: (-0.35, -0.36, 0.87)
