60.59: (0.73, 0.66, -0.18)
60.71: (0.74, 0.58, -0.34)
60.82: (0.73, 0.62, 0.30)
60.94: (0.55, 0.52, 0.65)
61.06: (0.48, 0.52, 0.71)
61.09: (0.48, 0.52, 0.71)
61.09: (-1.00, -0.01, -0.01): 0
61.17: (0.48, 0.52, 0.71)
61.29: (0.59, 0.57, 0.58)
61.39: (0.72, 0.69, 0.10)
61.51: (0.59, 0.66, -0.46)
61.62: (0.28, 0.40, -0.87)
61.74: (-0.06, -0.01, -1.00)
61.84: (-0.36, -0.35, -0.87)
61.96: (-0.56, -0.66, -0.51)
62.06: (-0.60, -0.80, -0.08)
62.17: (-0.41, -0.72, 0.56)
62.29: (0.01, -0.31, 0.95)
62.39: (0.36, 0.10, 0.93)
62.49: (0.64, 0.43, 0.64)
62.61: (0.77, 0.57, 0.27)
62.72: (0.70, 0.64, -0.30)
62.84: (0.24, 0.38, -0.89)
62.96: (-0.45, -0.23, -0.86)
63.06: (-0.72, -0.62, -0.31)
63.17: (-0.55, -0.69, 0.47)
63.27: (-0.19, -0.61, 0.77)
63.39: (0.42, -0.51, 0.75)
63.51: (0.88, -0.43, 0.20)
63.62: (0.78, -0.41, -0.47)
63.74: (0.05, -0.65, -0.76)
63.86: (-0.83, -0.56, 0.02)
63.97: (-0.03, 0.28, 0.96)
64.09: (0.95, 0.24, -0.22)
64.21: (-0.32, -0.41, -0.85)
64.32: (-0.45, -0.18, -0.88)
64.44: (0.89, 0.01, -0.46)
64.56: (0.68, 0.11, 0.73)
64.67: (0.64, 0.15, 0.75)
64.79: (0.95, 0.14, -0.29)
64.91: (0.08, -0.01, -1.00)
65.02: (-0.43, -0.11, -0.90)
65.12: (-0.65, -0.14, -0.75)
65.24: (-0.97, -0.18, -0.15)
65.36: (-0.82, -0.12, 0.56)
65.47: (-0.77, 0.00, 0.64)
65.59: (-1.00, -0.02, 0.07)
65.71: (-0.98, -0.08, -0.19)
65.81: (-0.98, -0.08, -0.20)
65.92: (-0.99, -0.07, -0.14)
66.04: (-1.00, -0.04, -0.08)
66.06: (-1.00, -0.04, -0.08)
66.06: (-0.44, -0.88, -0.17): 1
66.16: (-1.00, -0.04, -0.08)
66.27: (-1.00, 0.04, 0.05)
66.39: (-0.80, 0.23, 0.56)
66.51: (-0.12, 0.41, 0.90)
66.62: (0.44, 0.60, 0.66)
66.72: (0.37, 0.85, 0.37)
66.84: (-0.50, 0.86, 0.12)
66.96: (-0.95, -0.30, 0.12)
67.07: (-0.26, -0.82, 0.51)
67.19: (0.31, -0.30, 0.91)
67.31: (0.43, -0.04, 0.90)
67.42: (0.24, -0.75, 0.62)
67.54: (-0.16, -0.98, 0.10)
67.66: (-0.43, -0.90, -0.09)
67.77: (-0.53, -0.81, -0.25)
67.84: (-0.53, -0.80, -0.28)
67.84: (-0.68, 0.18, 0.71): 0
67.87: (-0.53, -0.80, -0.28)
67.99: (-0.50, -0.84, -0.22)
68.09: (-0.47, -0.88, -0.06)
68.21: (-0.29, -0.88, 0.38)
68.31: (0.06, -0.11, 0.99)
68.42: (0.41, 0.82, 0.41)
68.54: (0.45, 0.82, -0.36)
68.66: (0.33, 0.78, -0.53)
68.77: (-0.13, 0.96, 0.25)
68.89: (-0.31, 0.23, 0.92)
69.01: (-0.13, -0.22, 0.97)
69.12: (-0.21, -0.09, 0.97)
69.24: (-0.66, 0.06, 0.75)
69.32: (-0.72, 0.06, 0.70)
69.32: (-0.99, 0.08, 0.11): 2
69.36: (-0.71, 0.05, 0.70)
69.47: (-0.71, 0.05, 0.70)
69.57: (-0.73, 0.15, 0.67)
69.69: (-0.89, 0.45, -0.06)
69.81: (-0.74, 0.15, -0.66)
69.91: (-0.94, 0.00, -0.35)
70.02: (-0.99, 0.12, -0.04)
70.14: (-0.98, 0.18, 0.02)
70.26: (-0.98, 0.13, 0.16)
70.29: (-0.98, 0.13, 0.17)
70.29: (-0.97, -0.21, -0.14): 2
70.37: (-0.98, 0.13, 0.17)
70.49: (-0.92, 0.36, 0.17)
70.59: (-0.74, 0.65, 0.20)
70.71: (-0.96, 0.24, 0.13)
70.81: (-0.99, -0.14, 0.08)
70.92: (-0.99, -0.11, 0.08)
71.02: (-0.99, -0.10, 0.02)
71.12: (-0.98, -0.16, -0.08)
71.12: (-0.84, 0.02, -0.54): 2
71.14: (-0.98, -0.17, -0.08)
71.24: (-0.98, -0.17, -0.08)
71.36: (-0.97, -0.23, -0.09)
71.47: (-0.84, -0.15, -0.52)
71.57: (-0.83, 0.13, -0.54)
71.69: (-0.85, 0.15, -0.50)
71.76: (-0.86, 0.14, -0.49)
71.76: (0.92, 0.35, -0.17): 1
71.81: (-0.86, 0.14, -0.49)
71.92: (-0.87, 0.10, -0.48)
72.02: (-0.88, 0.00, -0.47)
72.12: (-0.82, -0.34, -0.47)
72.24: (-0.47, -0.81, -0.36)
72.36: (-0.19, -0.95, -0.25)
72.47: (0.09, -0.96, -0.27)
72.57: (0.55, -0.80, -0.24)
72.69: (0.90, -0.43, -0.01)
72.81: (0.99, -0.01, 0.14)
72.92: (0.89, 0.39, 0.22)
73.04: (0.86, 0.49, 0.12)
73.16: (0.90, 0.37, -0.22)
73.21: (0.90, 0.33, -0.29)
73.21: (0.91, 0.42, -0.07): 1
73.26: (0.90, 0.32, -0.30)
73.36: (0.90, 0.31, -0.30)
73.47: (0.93, 0.32, -0.21)
73.59: (0.92, 0.39, -0.02)
73.59: (-0.98, 0.16, 0.06): 0
73.59: (0.92, 0.39, -0.02)
73.71: (0.92, 0.39, 0.01)
73.82: (0.91, 0.40, 0.04)
73.94: (0.82, 0.51, 0.27)
74.04: (0.67, 0.53, 0.51)
74.16: (0.82, -0.24, 0.52)
74.27: (0.20, -0.94, -0.28)
74.37: (-0.58, -0.56, -0.59)
74.49: (-0.87, 0.31, -0.39)
74.59: (-0.57, 0.80, -0.19)
74.71: (-0.03, 1.00, -0.02)
74.82: (-0.28, 0.96, -0.04)
74.94: (-0.92, 0.39, -0.04)
75.06: (-0.99, -0.10, 0.00)
75.16: (-0.99, -0.16, 0.01)
75.26: (-0.99, 0.00, 0.13)
75.36: (-0.98, 0.11, 0.17)
75.36: (0.36, 0.77, -0.52): 1
75.37: (-0.98, 0.12, 0.17)
75.47: (-0.97, 0.16, 0.19)
75.59: (-0.90, 0.43, 0.04)
75.71: (-0.46, 0.49, -0.74)
75.82: (0.42, -0.24, -0.88)
75.94: (0.64, -0.74, -0.21)
76.04: (0.37, -0.88, 0.29)
76.15: (0.19, -0.86, 0.48)
76.27: (0.70, -0.67, 0.25)
76.39: (0.75, -0.02, -0.66)
76.50: (0.12, 0.27, -0.96)
76.60: (-0.13, 0.25, -0.96)
76.72: (-0.56, 0.19, -0.81)
76.82: (-0.88, -0.04, -0.47)
76.94: (-0.90, -0.44, -0.04)
77.05: (-0.49, -0.87, 0.09)
77.15: (-0.26, -0.95, 0.17)
77.27: (0.08, -0.90, 0.43)
77.37: (0.12, -0.33, 0.94)
77.49: (-0.33, 0.66, 0.67)
77.59: (-0.50, 0.84, -0.21)
77.70: (-0.32, 0.27, -0.91)
77.82: (0.14, -0.53, -0.84)
77.94: (0.51, -0.86, -0.07)
78.04: (0.51, -0.60, 0.62)
